description,merchant,category,amount
pharmacy at Nile Badrawi,Nile Badrawi,Healthcare,2803
paid 781 for movie tickets,,Entertainment,781
paid 171 for food delivery,,Food & Dining,171
ride home from InDrive,InDrive,Transportation,496
paid 611 for koshary,,Food & Dining,611
breakfast,,Food & Dining,228
paid 138 for groceries,,Food & Dining,138
koshary at Beano's,Beano's,Food & Dining,696
bought shoes from Marks & Spencer,Marks & Spencer,Shopping,7667
shawarma,,Food & Dining,233
petrol,,Transportation,60
paid 3345 for shopping,,Shopping,3345
groceries at Papa John's,Papa John's,Food & Dining,702
books,,Education,10396
pizza order from Taboon,Taboon,Food & Dining,148
bought clothes,,Shopping,2336
paid 1232 for satellite,,Bills & Utilities,1232
fast food at Seoudi,Seoudi,Food & Dining,382
fast food,,Food & Dining,289
bus fare from Cairo Metro,Cairo Metro,Transportation,445
shawarma at Kazaz,Kazaz,Food & Dining,719
paid 700 for dinner,,Food & Dining,700
dentist at Misr Pharmacy,Misr Pharmacy,Healthcare,583
airport ride,,Transportation,471
electronics,,Shopping,934
koshary at Espresso Lab,Espresso Lab,Food & Dining,625
commute from Toll Gate,Toll Gate,Transportation,421
movies,,Entertainment,791
pharmacy from 19011 Pharmacy,19011 Pharmacy,Healthcare,4839
monthly groceries at La Poire,La Poire,Food & Dining,385
coffee at El Abd,El Abd,Food & Dining,76
shawarma from Taboon,Taboon,Food & Dining,451
shirt,,Shopping,733
paid 105 for benzine,,Transportation,105
mobile recharge,,Bills & Utilities,822
kitchenware,,Shopping,435
takeout from La Poire,La Poire,Food & Dining,437
cable tv,,Bills & Utilities,105
paid 709 for weekly shopping,,Food & Dining,709
paid 486 for brunch,,Food & Dining,486
gym membership,,Entertainment,851
lab tests at Misr Pharmacy,Misr Pharmacy,Healthcare,2804
takeout,,Food & Dining,405
entertainment from Disney+,Disney+,Entertainment,105
paid 2800 for medical treatment,,Healthcare,2800
pizza order,,Food & Dining,631
uber to mall at Toll Gate,Toll Gate,Transportation,265
restaurant meal from Kheir Zaman,Kheir Zaman,Food & Dining,336
paid 9421 for shopping,,Shopping,9421
lab tests from El Ezaby Pharmacy,El Ezaby Pharmacy,Healthcare,579
foul and falafel at La Poire,La Poire,Food & Dining,253
bought clothes,,Shopping,6557
burger meal from Chili's,Chili's,Food & Dining,494
ride home at Mobil,Mobil,Transportation,53
paid 595 for weekly shopping,,Food & Dining,595
koshary,,Food & Dining,355
lunch at Pottery Cafe,Pottery Cafe,Food & Dining,148
prescription at Nile Badrawi,Nile Badrawi,Healthcare,2160
groceries,,Food & Dining,769
paid 125 for koshary,,Food & Dining,125
paid 659 for gas bill,,Bills & Utilities,659
doctor visit,,Healthcare,3995
parking fee,,Transportation,25
careem trip,,Transportation,33
coffee and cake,,Food & Dining,185
consultation at Biolab,Biolab,Healthcare,145
breakfast at Panda,Panda,Food & Dining,325
car wash at Gas Station,Gas Station,Transportation,479
groceries from Estoril,Estoril,Food & Dining,382
paid 782 for dinner,,Food & Dining,782
dentist at Doctor,Doctor,Healthcare,3335
koshary at Domino's Pizza,Domino's Pizza,Food & Dining,457
sports from Anghami,Anghami,Entertainment,199
gadget from Apple Store,Apple Store,Shopping,7996
internet bill at WE,WE,Bills & Utilities,961
massage from Maybelline,Maybelline,Personal Care,255
hair treatment,,Personal Care,1252
electronics at Marks & Spencer,Marks & Spencer,Shopping,1974
car wash,,Transportation,53
gym session at Anghami,Anghami,Entertainment,601
paid 229 for uber to mall,,Transportation,229
pizza order,,Food & Dining,104
paid 342 for burger meal,,Food & Dining,342
cinema from World Gym,World Gym,Entertainment,944
electricity bill from Internet Provider,Internet Provider,Bills & Utilities,1214
language learning,,Education,5580
airport ride from Parking,Parking,Transportation,299
paid 330 for personal trainer,,Entertainment,330
internet bill from Water Company,Water Company,Bills & Utilities,732
paid 5338 for laptop,,Shopping,5338
parking fee,,Transportation,255
manicure from Salon,Salon,Personal Care,1097
paid 284 for bus fare,,Transportation,284
brunch at Cilantro,Cilantro,Food & Dining,215
paid 266 for commute,,Transportation,266
sushi dinner from Hardee's,Hardee's,Food & Dining,509
hair treatment,,Personal Care,1212
shawarma,,Food & Dining,274
shirt from Noon,Noon,Shopping,5375
pizza order,,Food & Dining,768
paid 796 for dessert,,Food & Dining,796
internet payment,,Bills & Utilities,666
gasoline from Gas Station,Gas Station,Transportation,216
cinema at Renaissance,Renaissance,Entertainment,760
paid 912 for music subscription,,Entertainment,912
paid 1157 for subscription,,Other,1157
headphones at Jumia,Jumia,Shopping,5219
medical treatment at Dentist,Dentist,Healthcare,4329
pants at Zara,Zara,Shopping,9935
paid 6787 for shoes,,Shopping,6787
netflix subscription at Cima Club,Cima Club,Entertainment,911
parking fee,,Transportation,127
fast food,,Food & Dining,148
coffee and cake from Estoril,Estoril,Food & Dining,625
groceries,,Food & Dining,130
paid 3865 for jeans,,Shopping,3865
paid 252 for fast food,,Food & Dining,252
phone from Home Centre,Home Centre,Shopping,3729
paid 4944 for bought shoes,,Shopping,4944
burger meal from Beano's,Beano's,Food & Dining,594
private lessons at Jarir Bookstore,Jarir Bookstore,Education,3298
paid 221 for lunch,,Food & Dining,221
jacket from AliExpress,AliExpress,Shopping,1230
coffee and cake at Cafe Greco,Cafe Greco,Food & Dining,585
monthly groceries,,Food & Dining,136
paid 368 for movies,,Entertainment,368
seminar,,Education,201
family dinner from Felfela,Felfela,Food & Dining,437
blood tests from Cleopatra Hospital,Cleopatra Hospital,Healthcare,2480
cable tv at WE,WE,Bills & Utilities,1376
coffee and cake at Papa John's,Papa John's,Food & Dining,224
dessert from Metro,Metro,Food & Dining,223
weekly shopping from Espresso Lab,Espresso Lab,Food & Dining,450
paid 612 for phone bill,,Bills & Utilities,612
food delivery from TGI Fridays,TGI Fridays,Food & Dining,438
paid 186 for benzene,,Transportation,186
breakfast,,Food & Dining,138
koshary from Abou Tarek,Abou Tarek,Food & Dining,168
takeout at The Coffee Bean,The Coffee Bean,Food & Dining,345
coffee and cake,,Food & Dining,675
pizza order,,Food & Dining,596
university fees,,Education,16187
paid 267 for landline,,Bills & Utilities,267
takeout from Kazaz,Kazaz,Food & Dining,790
hotel stay at Sofitel,Sofitel,Travel,5746
commute from Wataniya,Wataniya,Transportation,64
personal care at Maybelline,Maybelline,Personal Care,287
sushi dinner at Sequoia,Sequoia,Food & Dining,469
monthly groceries from Kazaz,Kazaz,Food & Dining,221
electricity payment from Orange Egypt,Orange Egypt,Bills & Utilities,760
paid 441 for shawarma,,Food & Dining,441
groceries from KFC,KFC,Food & Dining,349
paid 1227 for vet visit,,Other,1227
electricity payment from Internet Provider,Internet Provider,Bills & Utilities,498
paid 4718 for bedding,,Shopping,4718
gasoline,,Transportation,341
paid 89 for snack,,Food & Dining,89
new phone at Pottery Barn,Pottery Barn,Shopping,2384
paid 11037 for university fees,,Education,11037
movies at Energy Gym,Energy Gym,Entertainment,66
transportation from Careem,Careem,Transportation,95
books at Amazon Books,Amazon Books,Education,1594
electricity bill from Vodafone Egypt,Vodafone Egypt,Bills & Utilities,340
food delivery at Elmenus,Elmenus,Food & Dining,279
bedding from H&M,H&M,Shopping,4205
shirt,,Shopping,1897
jeans,,Shopping,661
healthcare,,Healthcare,4351
paid 292 for restaurant meal,,Food & Dining,292
gadget,,Shopping,709
electricity bill,,Bills & Utilities,750
shawarma at Cilantro,Cilantro,Food & Dining,41
benzene at Shell,Shell,Transportation,404
metro ticket at Careem,Careem,Transportation,468
online order,,Shopping,4965
furniture from The One,The One,Shopping,956
brunch at Starbucks,Starbucks,Food & Dining,232
paid 955 for pedicure,,Personal Care,955
paid 588 for brunch,,Food & Dining,588
paid 31 for uber to mall,,Transportation,31
paid 182 for coffee,,Food & Dining,182
burger meal from Oscar Market,Oscar Market,Food & Dining,261
paid 396 for burger meal,,Food & Dining,396
bedding,,Shopping,8605
miscellaneous from Insurance Company,Insurance Company,Other,940
hair salon from Sephora,Sephora,Personal Care,1176
barber,,Personal Care,579
home decor,,Shopping,6754
dessert,,Food & Dining,42
paid 1487 for satellite,,Bills & Utilities,1487
gasoline from Wataniya,Wataniya,Transportation,61
airport ride from Cairo Metro,Cairo Metro,Transportation,481
breakfast from Pottery Cafe,Pottery Cafe,Food & Dining,612
brunch at Zooba,Zooba,Food & Dining,259
hospital visit from Doctor,Doctor,Healthcare,4071
mobile recharge at Vodafone Egypt,Vodafone Egypt,Bills & Utilities,394
snack,,Food & Dining,514
paid 908 for personal care,,Personal Care,908
paid 272 for coffee,,Food & Dining,272
fuel at Auto Service,Auto Service,Transportation,61
paid 9695 for home decor,,Shopping,9695
game purchase,,Entertainment,193
ride home at Car Wash,Car Wash,Transportation,439
family dinner at Subway,Subway,Food & Dining,259
uber ride,,Transportation,383
burger meal at Ovio,Ovio,Food & Dining,79
paid 670 for koshary,,Food & Dining,670
gym session from Renaissance,Renaissance,Entertainment,40
paid 751 for pizza order,,Food & Dining,751
clinic,,Healthcare,4530
paid 134 for burger meal,,Food & Dining,134
paid 171 for fuel,,Transportation,171
fast food,,Food & Dining,421
laptop,,Shopping,3832
online order from Apple Store,Apple Store,Shopping,2256
entertainment at Galaxy Cinemas,Galaxy Cinemas,Entertainment,717
foul and falafel at Al Omda,Al Omda,Food & Dining,533
ride to work at Cairo Metro,Cairo Metro,Transportation,215
paid 91 for uber to mall,,Transportation,91
sushi dinner,,Food & Dining,117
paid 1499 for mobile recharge,,Bills & Utilities,1499
shopping at Centrepoint,Centrepoint,Shopping,4297
pizza order from Al Omda,Al Omda,Food & Dining,562
cinema from Anghami,Anghami,Entertainment,933
beauty salon,,Personal Care,428
paid 4887 for pharmacy,,Healthcare,4887
paid 428 for breakfast,,Food & Dining,428
study materials at ILI,ILI,Education,2344
paid 461 for shawarma,,Food & Dining,461
entertainment at Disney+,Disney+,Entertainment,803
personal trainer from Steam,Steam,Entertainment,487
paid 348 for mobile recharge,,Bills & Utilities,348
headphones from The One,The One,Shopping,7017
home decor from Amazon,Amazon,Shopping,7574
paid 600 for takeout,,Food & Dining,600
snack at Gad,Gad,Food & Dining,416
education from Nile University,Nile University,Education,10314
beauty products,,Personal Care,554
shopping spree,,Shopping,8925
paid 743 for snack,,Food & Dining,743
paid 385 for parking fee,,Transportation,385
clothes from Apple Store,Apple Store,Shopping,1279
hair treatment at Beauty Center,Beauty Center,Personal Care,903
facial from Maybelline,Maybelline,Personal Care,1047
shoes at Mobilia,Mobilia,Shopping,771
paid 850 for satellite,,Bills & Utilities,850
sports from Apple Music,Apple Music,Entertainment,834
taxi at Careem,Careem,Transportation,103
ride to work at Parking,Parking,Transportation,112
dentist,,Healthcare,4519
shirt from Centrepoint,Centrepoint,Shopping,6664
medical checkup at Chowefat Pharmacy,Chowefat Pharmacy,Healthcare,3874
groceries at The Coffee Bean,The Coffee Bean,Food & Dining,703
paid 717 for laundry,,Other,717
breakfast from Ovio,Ovio,Food & Dining,27
shirt from Splash,Splash,Shopping,6230
paid 47 for sushi dinner,,Food & Dining,47
snack from Panda,Panda,Food & Dining,437
coffee,,Food & Dining,446
ride sharing at Total,Total,Transportation,38
paid 1249 for hospital visit,,Healthcare,1249
takeout,,Food & Dining,574
restaurant meal,,Food & Dining,677
paid 425 for uber ride,,Transportation,425
pizza order from Costa Coffee,Costa Coffee,Food & Dining,529
careem trip at InDrive,InDrive,Transportation,308
healthcare from Misr Pharmacy,Misr Pharmacy,Healthcare,1780
bought shoes from Adidas,Adidas,Shopping,8174
diesel from Gas Station,Gas Station,Transportation,226
fast food from Cilantro,Cilantro,Food & Dining,427
water bill at Orange Egypt,Orange Egypt,Bills & Utilities,1090
paid 433 for uber to mall,,Transportation,433
video games,,Entertainment,955
electricity bill from WE,WE,Bills & Utilities,805
paid 463 for benzine,,Transportation,463
ride sharing,,Transportation,413
food delivery,,Food & Dining,607
clothes at Jumia,Jumia,Shopping,6968
spotify premium,,Entertainment,585
sushi dinner from Cilantro,Cilantro,Food & Dining,418
new phone at Marks & Spencer,Marks & Spencer,Shopping,3075
paid 8986 for private lessons,,Education,8986
pants from IKEA,IKEA,Shopping,3465
gasoline from ADNOC,ADNOC,Transportation,87
snack,,Food & Dining,393
wifi at Vodafone Egypt,Vodafone Egypt,Bills & Utilities,1354
insurance payment from Insurance Company,Insurance Company,Other,1010
careem to office at Uber Moto,Uber Moto,Transportation,127
cinema,,Entertainment,583
parking fee at Uber Moto,Uber Moto,Transportation,221
petrol,,Transportation,218
ride to work at Parking,Parking,Transportation,383
taxi from Mobil,Mobil,Transportation,419
clinic,,Healthcare,1416
paid 588 for takeout,,Food & Dining,588
paid 8966 for shoes,,Shopping,8966
online order,,Shopping,6951
burger meal from Kheir Zaman,Kheir Zaman,Food & Dining,432
monthly groceries at Hadramout,Hadramout,Food & Dining,539
paid 38 for transportation,,Transportation,38
internet payment at beIN Sports,beIN Sports,Bills & Utilities,241
paid 467 for dessert,,Food & Dining,467
paid 456 for lunch,,Food & Dining,456
paid 373 for music subscription,,Entertainment,373
food delivery from KFC,KFC,Food & Dining,450
paid 174 for monthly groceries,,Food & Dining,174
monthly groceries at Spinneys,Spinneys,Food & Dining,73
shawarma,,Food & Dining,313
takeout from Felfela,Felfela,Food & Dining,550
utilities at beIN Sports,beIN Sports,Bills & Utilities,214
grooming from Beauty Center,Beauty Center,Personal Care,49
ride sharing,,Transportation,500
metro ticket at Shell,Shell,Transportation,466
paid 6676 for shopping spree,,Shopping,6676
concert from Shahid VIP,Shahid VIP,Entertainment,966
medical treatment,,Healthcare,2593
paid 178 for snack,,Food & Dining,178
groceries from Hadramout,Hadramout,Food & Dining,309
paid 7454 for online order,,Shopping,7454
fuel,,Transportation,121
benzine at Wataniya,Wataniya,Transportation,195
dress at Mobiles Shop,Mobiles Shop,Shopping,6246
restaurant meal from Fathalla Market,Fathalla Market,Food & Dining,125
transportation from ADNOC,ADNOC,Transportation,469
burger meal from Cilantro,Cilantro,Food & Dining,152
restaurant meal at TGI Fridays,TGI Fridays,Food & Dining,238
mobile bill from Electricity Company,Electricity Company,Bills & Utilities,325
furniture,,Shopping,608
groceries at Ovio,Ovio,Food & Dining,257
game purchase,,Entertainment,67
paid 72 for gym membership,,Entertainment,72
paid 132 for ride sharing,,Transportation,132
paid 600 for breakfast,,Food & Dining,600
t-shirt,,Shopping,2147
paid 1396 for satellite,,Bills & Utilities,1396
paid 323 for restaurant meal,,Food & Dining,323
paid 276 for uber ride,,Transportation,276
tourism from Emirates,Emirates,Travel,4178
fast food at Cook Door,Cook Door,Food & Dining,435
gas refill at Shell,Shell,Transportation,37
koshary,,Food & Dining,754
paid 238 for burger meal,,Food & Dining,238
brunch,,Food & Dining,339
gas refill at InDrive,InDrive,Transportation,422
airbnb,,Travel,8133
paid 673 for foul and falafel,,Food & Dining,673
shawarma,,Food & Dining,667
paid 573 for utilities,,Bills & Utilities,573
restaurant meal from Domino's Pizza,Domino's Pizza,Food & Dining,513
car wash,,Transportation,404
monthly groceries,,Food & Dining,554
landline from Nile Sat,Nile Sat,Bills & Utilities,196
personal trainer,,Entertainment,185
paid 1207 for electricity bill,,Bills & Utilities,1207
paid 2489 for shirt,,Shopping,2489
wifi at Orange Egypt,Orange Egypt,Bills & Utilities,533
shopping at Marks & Spencer,Marks & Spencer,Shopping,5899
coffee at Hardee's,Hardee's,Food & Dining,323
shirt at Kenoz,Kenoz,Shopping,8301
paid 427 for pizza order,,Food & Dining,427
electricity payment at Internet Provider,Internet Provider,Bills & Utilities,459
shopping spree,,Shopping,6447
uber to mall,,Transportation,306
paid 259 for dessert,,Food & Dining,259
food delivery from Kheir Zaman,Kheir Zaman,Food & Dining,756
landline from Etisalat,Etisalat,Bills & Utilities,1325
sushi dinner,,Food & Dining,110
lunch,,Food & Dining,387
ride home from Uber Moto,Uber Moto,Transportation,453
laptop,,Shopping,8011
petrol from Uber Moto,Uber Moto,Transportation,423
tourism at Hilton,Hilton,Travel,5294
dental checkup from Nile Badrawi,Nile Badrawi,Healthcare,2711
brunch from Taboon,Taboon,Food & Dining,798
coffee and cake from La Poire,La Poire,Food & Dining,311
commute at ADNOC,ADNOC,Transportation,364
game purchase from Energy Gym,Energy Gym,Entertainment,543
paid 853 for electricity payment,,Bills & Utilities,853
fuel,,Transportation,143
paid 154 for burger meal,,Food & Dining,154
breakfast at Mori Sushi,Mori Sushi,Food & Dining,731
benzine at ADNOC,ADNOC,Transportation,492
brunch from Felfela,Felfela,Food & Dining,481
car wash,,Transportation,273
paid 94 for burger meal,,Food & Dining,94
t-shirt,,Shopping,3032
paid 434 for mobile recharge,,Bills & Utilities,434
paid 125 for koshary,,Food & Dining,125
manicure from Maybelline,Maybelline,Personal Care,1105
internet payment,,Bills & Utilities,547
cable tv,,Bills & Utilities,561
foul and falafel,,Food & Dining,528
breakfast from Kheir Zaman,Kheir Zaman,Food & Dining,490
lunch from Subway,Subway,Food & Dining,697
coffee and cake at Mori Sushi,Mori Sushi,Food & Dining,365
paid 2206 for lab tests,,Healthcare,2206
gas bill at Orange Egypt,Orange Egypt,Bills & Utilities,1255
paid 74 for airport ride,,Transportation,74
phone,,Shopping,635
paid 292 for sushi dinner,,Food & Dining,292
fast food from Mohamed Ahmed,Mohamed Ahmed,Food & Dining,239
paid 530 for game purchase,,Entertainment,530
takeout,,Food & Dining,223
utilities at beIN Sports,beIN Sports,Bills & Utilities,1324
paid 445 for restaurant meal,,Food & Dining,445
sushi dinner from Carrefour,Carrefour,Food & Dining,260
monthly groceries,,Food & Dining,792
bus fare,,Transportation,432
healthcare,,Healthcare,3089
movie tickets,,Entertainment,258
shawarma at Andrea's,Andrea's,Food & Dining,530
fuel from Mobil,Mobil,Transportation,107
sneakers,,Shopping,6758
diesel at Car Wash,Car Wash,Transportation,385
koshary,,Food & Dining,309
foul and falafel,,Food & Dining,170
paid 16829 for coursera,,Education,16829
paid 487 for gym membership,,Entertainment,487
snack from Gad,Gad,Food & Dining,461
snack at Mohamed Ahmed,Mohamed Ahmed,Food & Dining,648
taxi from Car Wash,Car Wash,Transportation,40
burger meal from Hadramout,Hadramout,Food & Dining,320
commute from InDrive,InDrive,Transportation,241
family dinner from Cook Door,Cook Door,Food & Dining,20
paid 782 for monthly groceries,,Food & Dining,782
landline at Water Company,Water Company,Bills & Utilities,592
paid 3791 for medical checkup,,Healthcare,3791
weekly shopping,,Food & Dining,408
netflix subscription at World Gym,World Gym,Entertainment,434
benzene from Misr Petroleum,Misr Petroleum,Transportation,289
sushi dinner,,Food & Dining,315
fuel,,Transportation,489
family dinner from The Coffee Bean,The Coffee Bean,Food & Dining,276
shopping spree,,Shopping,7209
petrol at Tneen Bike,Tneen Bike,Transportation,383
monthly bills at Nile Sat,Nile Sat,Bills & Utilities,406
weekly shopping from Pottery Cafe,Pottery Cafe,Food & Dining,612
paid 334 for monthly bills,,Bills & Utilities,334
car wash from DiDi,DiDi,Transportation,345
food delivery from Carrefour,Carrefour,Food & Dining,425
utilities at Etisalat,Etisalat,Bills & Utilities,556
gasoline at DiDi,DiDi,Transportation,78
dentist at Alpha Lab,Alpha Lab,Healthcare,3807
paid 546 for electricity bill,,Bills & Utilities,546
food delivery from Metro,Metro,Food & Dining,390
electricity payment,,Bills & Utilities,932
electricity payment from beIN Sports,beIN Sports,Bills & Utilities,1244
groceries at Mohamed Ahmed,Mohamed Ahmed,Food & Dining,300
paid 209 for music subscription,,Entertainment,209
video games from Epic Games,Epic Games,Entertainment,343
family dinner from Uber Eats,Uber Eats,Food & Dining,667
paid 627 for foul and falafel,,Food & Dining,627
vet visit,,Other,809
electronics,,Shopping,8704
paid 382 for burger meal,,Food & Dining,382
ride to work at InDrive,InDrive,Transportation,64
breakfast,,Food & Dining,389
foul and falafel from Kheir Zaman,Kheir Zaman,Food & Dining,782
burger meal from Burger King,Burger King,Food & Dining,77
paid 56 for dinner,,Food & Dining,56
dinner,,Food & Dining,366
coffee from Estoril,Estoril,Food & Dining,468
paid 799 for electricity bill,,Bills & Utilities,799
massage at Spa,Spa,Personal Care,561
paid 393 for ride to work,,Transportation,393
phone bill from Water Company,Water Company,Bills & Utilities,479
weekly shopping from Starbucks,Starbucks,Food & Dining,362
monthly groceries,,Food & Dining,164
hotel booking,,Travel,12335
careem trip from Total,Total,Transportation,81
dinner from Metro,Metro,Food & Dining,693
hair treatment from Salon,Salon,Personal Care,810
foul and falafel from El Abd,El Abd,Food & Dining,65
ride home at Wataniya,Wataniya,Transportation,435
paid 172 for benzene,,Transportation,172
paid 6066 for sneakers,,Shopping,6066
game purchase,,Entertainment,246
manicure at Salon,Salon,Personal Care,1850
koshary from Zooba,Zooba,Food & Dining,730
paid 775 for concert,,Entertainment,775
restaurant meal,,Food & Dining,151
cable tv at Orange Egypt,Orange Egypt,Bills & Utilities,850
snack from Beano's,Beano's,Food & Dining,250
manicure,,Personal Care,1961
coffee and cake,,Food & Dining,543
shirt from Apple Store,Apple Store,Shopping,6940
gas bill at beIN Sports,beIN Sports,Bills & Utilities,1031
paid 408 for car wash,,Transportation,408
vacation,,Travel,17898
paid 540 for burger meal,,Food & Dining,540
paid 479 for benzine,,Transportation,479
food delivery from TGI Fridays,TGI Fridays,Food & Dining,645
family dinner,,Food & Dining,42
uber ride,,Transportation,349
uber to mall from Careem,Careem,Transportation,113
uber to mall,,Transportation,374
takeout at Cook Door,Cook Door,Food & Dining,694
bought shoes at Mobiles Shop,Mobiles Shop,Shopping,6156
shopping at IKEA,IKEA,Shopping,6783
spa at Boots,Boots,Personal Care,1181
gym membership from Renaissance,Renaissance,Entertainment,638
private lessons from BUE,BUE,Education,471
family dinner at Oscar Market,Oscar Market,Food & Dining,360
paid 6982 for education,,Education,6982
paid 556 for restaurant meal,,Food & Dining,556
lunch from Talabat,Talabat,Food & Dining,611
monthly bills at beIN Sports,beIN Sports,Bills & Utilities,1381
paid 500 for groceries,,Food & Dining,500
breakfast,,Food & Dining,401
paid 172 for groceries,,Food & Dining,172
food delivery at Elmenus,Elmenus,Food & Dining,608
paid 139 for bus fare,,Transportation,139
paid 52 for game purchase,,Entertainment,52
paid 7076 for kitchenware,,Shopping,7076
gasoline at DiDi,DiDi,Transportation,476
weekly shopping,,Food & Dining,670
car wash from Shell,Shell,Transportation,74
benzine,,Transportation,476
grooming from Beauty Center,Beauty Center,Personal Care,371
paid 3352 for jacket,,Shopping,3352
paid 651 for personal trainer,,Entertainment,651
paid 8558 for shirt,,Shopping,8558
hotel stay from Agoda,Agoda,Travel,14318
home decor from Pan Emirates,Pan Emirates,Shopping,7342
water bill from Gas Company,Gas Company,Bills & Utilities,734
gasoline,,Transportation,287
benzine from Car Wash,Car Wash,Transportation,116
internet bill,,Bills & Utilities,1406
car wash from Uber Moto,Uber Moto,Transportation,499
paid 328 for ride home,,Transportation,328
books at Coursera,Coursera,Education,19689
plane ticket,,Travel,18039
sushi dinner at El Abd,El Abd,Food & Dining,177
paid 318 for metro ticket,,Transportation,318
pants,,Shopping,2920
dinner from KFC,KFC,Food & Dining,287
laptop from The One,The One,Shopping,5801
paid 696 for entertainment,,Entertainment,696
paid 799 for coffee,,Food & Dining,799
lunch from Estoril,Estoril,Food & Dining,199
electricity bill at beIN Sports,beIN Sports,Bills & Utilities,716
paid 780 for entertainment,,Entertainment,780
fast food at Taboon,Taboon,Food & Dining,630
airport ride from Mobil,Mobil,Transportation,174
pharmacy,,Healthcare,1397
groceries from Hardee's,Hardee's,Food & Dining,209
paid 439 for monthly bills,,Bills & Utilities,439
sushi dinner at El Abd,El Abd,Food & Dining,360
paid 337 for uber ride,,Transportation,337
parking fee at InDrive,InDrive,Transportation,423
paid 6831 for furniture,,Shopping,6831
paid 62 for restaurant meal,,Food & Dining,62
family dinner at Kazaz,Kazaz,Food & Dining,145
hotel booking,,Travel,20600
wifi at WE,WE,Bills & Utilities,704
internet payment at WE,WE,Bills & Utilities,505
paid 8405 for kitchenware,,Shopping,8405
paid 186 for weekly shopping,,Food & Dining,186
family dinner from El Abd,El Abd,Food & Dining,200
family dinner from Papa John's,Papa John's,Food & Dining,305
paid 225 for sneakers,,Shopping,225
paid 863 for pedicure,,Personal Care,863
paid 918 for medical treatment,,Healthcare,918
paid 308 for burger meal,,Food & Dining,308
benzine from Uber,Uber,Transportation,180
video games at Xbox Store,Xbox Store,Entertainment,161
paid 434 for gasoline,,Transportation,434
snack at Mori Sushi,Mori Sushi,Food & Dining,525
petrol from InDrive,InDrive,Transportation,160
